Хозяева;Гости;Голы хозяев;Голы гостей;День;Месяц;Год;Тур;Стадион;Город;Время начана;Сезон,
"Алания;Локомотив;0;0;7;ноября;2010;27;стадион ""Республиканский стадион Спартак"";Владикавказ;16:30;2010",
"ЦСКА;Крылья Советов;4;3;7;ноября;2010;27;стадион ""Арена Химки"";Химки;19:00;2010",
"Рубин;Спартак;1;1;8;ноября;2010;27;стадион ""Центральный"";Казань;19:00;2010",
"Cатурн;Амкар;2;2;12;ноября;2010;28;стадион ""Сатурн"";Раменское;18:00;2010",
"Томь;Алания;1;1;13;ноября;2010;28;стадион ""Труд"";Томск;14:30;2010",
"Терек;Анжи;1;3;13;ноября;2010;28;стадион ""им. Билимханова"";Грозный;16:45;2010",
"Динамо;Рубин;2;2;13;ноября;2010;28;стадион ""Арена Химки"";Химки;19:00;2010",
"Спартак Нч;ЦСКА;1;1;14;ноября;2010;28;стадион ""Спартак"";Нальчик;14:00;2010",
"Зенит;Ростов;5;0;14;ноября;2010;28;стадион ""Петровский"";Санкт-Петербург;15:00;2010",
"Локомотив;Сибирь;1;1;14;ноября;2010;28;стадион ""РЖД Арена"";Москва;16:15;2010",
"Спартак;Крылья Советов;0;0;14;ноября;2010;28;стадион ""Лужники"";Москва;19:00;2010",
"ЦСКА;Спартак;3;1;20;ноября;2010;29;стадион ""Арена Химки"";Химки;14:00;2010",
"Анжи;Cатурн;1;2;20;ноября;2010;29;стадион ""Динамо"";Махачкала;14:00;2010",
"Алания;Терек;2;1;20;ноября;2010;29;стадион ""Республиканский стадион Спартак"";Владикавказ;14:00;2010",
"Сибирь;Томь;0;1;20;ноября;2010;29;стадион ""Спартак"";Новосибирск;14:00;2010",
"Ростов;Локомотив;1;2;20;ноября;2010;29;стадион ""Олимп-2"";Ростов-на-Дону;14:00;2010",
"Рубин;Зенит;2;2;20;ноября;2010;29;стадион ""Центральный"";Казань;14:00;2010",
"Крылья Советов;Динамо;1;0;20;ноября;2010;29;стадион ""Металлург"";Самара;14:00;2010",
"Амкар;Спартак Нч;3;1;20;ноября;2010;29;стадион ""Звезда"";Пермь;14:00;2010",
"Амкар;ЦСКА;0;0;28;ноября;2010;30;стадион ""Звезда"";Пермь;14:00;2010",
"Спартак Нч;Анжи;1;3;28;ноября;2010;30;стадион ""Спартак"";Нальчик;14:00;2010",
"Cатурн;Алания;1;1;28;ноября;2010;30;стадион ""Сатурн"";Раменское;14:00;2010",
"Терек;Сибирь;1;1;28;ноября;2010;30;стадион ""им. Билимханова"";Грозный;14:00;2010",
"Томь;Ростов;3;1;28;ноября;2010;30;стадион ""Труд"";Томск;14:00;2010",
"Локомотив;Рубин;0;0;28;ноября;2010;30;стадион ""РЖД Арена"";Москва;14:00;2010",
"Зенит;Крылья Советов;0;0;28;ноября;2010;30;стадион ""Петровский"";Санкт-Петербург;14:00;2010",
"Динамо;Спартак;1;1;28;ноября;2010;30;стадион ""Арена Химки"";Химки;14:00;2010",
"Анжи;Краснодар;0;0;12;марта;2011;1;стадион ""Динамо"";Махачкала;14:00;2011/2012",
"Спартак Нч;Крылья Советов;1;0;12;марта;2011;1;стадион ""им. Билимханова"";Грозный;17:30;2011/2012",
"Локомотив;Динамо;3;2;12;марта;2011;1;стадион ""Лужники"";Москва;18:30;2011/2012",
"Кубань;Рубин;0;2;13;марта;2011;1;стадион ""Кубань"";Краснодар;14:00;2011/2012",
"ЦСКА;Амкар;2;0;13;марта;2011;1;стадион ""Лужники"";Москва;16:15;2011/2012",
"Терек;Зенит;0;1;13;марта;2011;1;стадион ""им. Билимханова"";Грозный;18:30;2011/2012",
"Волга НН;Томь;2;0;14;марта;2011;1;стадион ""Локомотив"";Нижний Новгород;18:45;2011/2012",
"Ростов;Спартак;4;0;14;марта;2011;1;стадион ""Олимп-2"";Ростов-на-Дону;19:30;2011/2012",
"Краснодар;Спартак Нч;2;0;19;марта;2011;2;стадион ""Кубань"";Краснодар;14:00;2011/2012",
"Динамо;Ростов;3;1;19;марта;2011;2;стадион ""Арена Химки"";Химки;16:15;2011/2012",
"Томь;Кубань;0;1;20;марта;2011;2;стадион ""Труд"";Томск;12:00;2011/2012",
"Амкар;Локомотив;1;0;20;марта;2011;2;стадион ""Звезда"";Пермь;14:15;2011/2012",
"Рубин;Терек;2;0;20;марта;2011;2;стадион ""Центральный"";Казань;16:30;2011/2012",
"Зенит;Анжи;2;0;21;марта;2011;2;стадион ""Петровский"";Санкт-Петербург;19:30;2011/2012",
"Спартак;Волга НН;1;0;21;марта;2011;2;стадион ""Лужники"";Москва;20:45;2011/2012",
"Крылья Советов;ЦСКА;0;3;25;мая;2011;2;стадион ""Металлург"";Самара;19:00;2011/2012",
"Амкар;Крылья Советов;1;1;2;апреля;2011;3;стадион ""Звезда"";Пермь;14:00;2011/2012",
"Волга НН;Динамо;3;0;2;апреля;2011;3;стадион ""Локомотив"";Нижний Новгород;16:15;2011/2012",
"Локомотив;Ростов;1;1;2;апреля;2011;3;стадион ""Лужники"";Москва;18:30;2011/2012",
"Кубань;Спартак;3;1;2;апреля;2011;3;стадион ""Кубань"";Краснодар;20:45;2011/2012",
"Спартак Нч;Зенит;2;2;3;апреля;2011;3;стадион ""Спартак"";Нальчик;14:00;2011/2012",
"Анжи;Рубин;1;0;3;апреля;2011;3;стадион ""Динамо"";Махачкала;16:15;2011/2012",
